name	description	leaves
sq25;size=579057;	OTU mapped to Bacteroides faecichinchillae/faecis/thetaiotaomicron	
sq26;size=571700;	OTU mapped to Clostridium_XVIII ramosum	
sq27;size=537952;	OTU mapped to Ruminococcus bromii	
sq28;size=526536;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Erysipelotrichia, Bacilli	
sq29;size=509608;	OTU mapped to Collinsella aerofaciens	
sq30;size=495992;	OTU mapped to Sutterella wadsworthensis	
sq31;size=484285;	OTU mapped to a clade within genus Bifidobacterium,including representatives of species Bifidobacterium longum, Bifidobacterium breve	
sq32;size=481959;	OTU mapped to Bacteroides caccae	
sq33;size=480760;	OTU mapped to Roseburia intestinalis	
sq34;size=468569;	OTU mapped to Gemmiger formicilis	
sq35;size=455501;	OTU mapped to Parasutterella excrementihominis	
sq36;size=439026;	OTU mapped to Lactobacillus casei/helveticus/paracasei/plantarum/rhamnosus/zeae	
sq37;size=435106;	OTU mapped to Alistipes finegoldii/onderdonkii	
sq38;size=406607;	OTU mapped to Roseburia inulinivorans	
sq39;size=399807;	OTU mapped to Sutterella stercoricanis	
sq40;size=378246;	OTU mapped to Parabacteroides merdae	
sq41;size=372936;	OTU mapped to a clade within family Lachnospiraceae,including representatives of genus Marvinbryantia, Robinsoniella, Blautia	
sq42;size=355037;	OTU mapped to Veillonella dispar/parvula	
sq43;size=343371;	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Enterobacter, Klebsiella, Kosakonia	
sq44;size=336494;	OTU mapped to Veillonella atypica/dispar	
sq45;size=334421;	OTU mapped to Flavonifractor plautii	
sq46;size=325448;	OTU mapped to Clostridium_XI bartlettii	
sq47;size=314068;	OTU mapped to Streptococcus salivarius/vestibularis	
sq48;size=308652;	OTU mapped to Bacteroides stercoris	
sq49;size=289146;	OTU mapped to Enterococcus avium/casseliflavus/devriesei/durans/gilvus/hawaiiensis/hermanniensis/hirae/malodoratus/pallens/pseudoavium/raffinosus/viikkiensis	
sq50;size=282979;	OTU mapped to Blautia luti	
sq51;size=274412;	OTU mapped to Prevotella copri	
sq52;size=258287;	OTU mapped to Alistipes putredinis	
sq54;size=232339;	OTU mapped to Clostridium_sensu_stricto neonatale	
sq55;size=230567;	OTU mapped to Anaerostipes butyraticus	
sq56;size=218994;	OTU mapped to Faecalibacterium prausnitzii	
sq57;size=209041;	OTU mapped to Veillonella parvula/rogosae/tobetsuensis	
sq58;size=207883;	OTU mapped to Dorea longicatena	
sq59;size=206855;	OTU mapped to Eubacterium hallii	
sq60;size=200724;	OTU mapped to Clostridium hathewayi	
sq62;size=199303;	OTU mapped to Megasphaera elsdenii/hominis	
sq63;size=192392;	OTU mapped to Clostridium_sensu_stricto celatum/disporicum	
sq64;size=191421;	OTU mapped to Lactococcus garvieae/lactis	
sq65;size=186706;	OTU mapped to Alistipes finegoldii	
sq66;size=186030;	OTU mapped to a clade within genus Clostridium,including representatives of species Clostridium aerotolerans, Clostridium xylanolyticum	
sq67;size=185845;	OTU mapped to Ruminococcus bromii	
sq68;size=178805;	OTU mapped to Veillonella ratti	
sq69;size=177052;	OTU mapped to Akkermansia muciniphila	
sq70;size=169081;	OTU mapped to Lactobacillus casei/helveticus/reuteri/rhamnosus	
sq71;size=167453;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Peptostreptococcaceae	
sq72;size=166815;	OTU mapped to Gracilibacter thermotolerans	
sq73;size=164966;	OTU mapped to Eubacterium eligens	
sq74;size=161264;	OTU mapped to Lactobacillus rogosae	
sq76;size=147856;	OTU mapped to Bifidobacterium dentium	
sq77;size=143127;	OTU mapped to Eubacterium eligens	
sq78;size=139824;	OTU mapped to Ruminococcus lactaris	
sq79;size=137852;	OTU mapped to Streptococcus bovis/equinus/infantarius/luteciae/lutetiensis/salivarius	
sq80;size=130241;	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae, Eubacteriaceae	
sq81;size=128852;	OTU mapped to Clostridium_XlVa bolteae/clostridioforme	
sq83;size=124906;	OTU mapped to Blautia faecis	
sq86;size=121371;	OTU mapped to Bacteroides massiliensis	
sq87;size=120786;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
sq88;size=119729;	OTU mapped to Parabacteroides distasonis	
sq89;size=117483;	OTU mapped to Allobaculum stercoricanis	
sq90;size=115085;	OTU mapped to a clade within genus Ruminococcus,including representatives of species Ruminococcus albus, Ruminococcus flavefaciens, Ruminococcus callidus	
sq91;size=112216;	OTU mapped to Ruminococcus bicirculans	
sq92;size=111219;	OTU mapped to Bifidobacterium bifidum	
sq93;size=110565;	OTU mapped to Oscillibacter valericigenes	
sq94;size=107496;	OTU mapped to Faecalibacterium prausnitzii	
sq96;size=105480;	OTU mapped to Lachnobacterium bovis	
sq97;size=102043;	OTU mapped to a clade within genus Bacteroides,including representatives of species Bacteroides fragilis, Bacteroides salyersiae, Bacteroides nordii	
sq98;size=101965;	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae, Clostridiaceae	
sq99;size=101887;	OTU mapped to a clade within family Enterobacteriaceae,including representatives of genus Buttiauxella, Citrobacter, Raoultella, Enterobacter, Lelliottia, Kluyvera, Klebsiella, Yokenella	
sq100;size=100408;	OTU mapped to Bacteroides ovatus	
sq103;size=96080;	OTU mapped to a clade within order Clostridiales,including representatives of family Lachnospiraceae, Eubacteriaceae, Clostridiaceae	
sq104;size=91730;	OTU mapped to Clostridium nexile	
sq105;size=88435;	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Clostridiaceae	
sq106;size=88010;	OTU mapped to a clade within genus Clostridium,including representatives of species Clostridium disporicum, Clostridium celatum	
sq107;size=84008;	OTU mapped to Bacteroides uniformis	
sq109;size=83360;	OTU mapped to Faecalibacterium prausnitzii	
sq110;size=81733;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
sq111;size=81614;	OTU mapped to Eubacterium hallii	
sq113;size=80837;	OTU mapped to Eubacterium coprostanoligenes	
sq114;size=79346;	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Gemmiger	
sq115;size=79033;	OTU mapped to Blautia obeum	
sq117;size=78669;	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Faecalibacterium, Gemmiger	
sq118;size=76766;	OTU mapped to Alistipes shahii	
sq119;size=76712;	OTU mapped to Bilophila wadsworthia	
sq120;size=76131;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
sq121;size=74695;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
sq122;size=74529;	OTU mapped to Parabacteroides distasonis	
sq123;size=72805;	OTU mapped to Odoribacter splanchnicus	
sq125;size=71713;	OTU mapped to Clostridium_sensu_stricto paraputrificum	
sq126;size=71476;	OTU mapped to Clostridium hathewayi	
sq128;size=70944;	OTU mapped to Sutterella stercoricanis	
sq130;size=70625;	OTU mapped to Oscillibacter valericigenes	
sq131;size=69175;	OTU mapped to a clade within family Sutterellaceae,including representatives of genus Sutterella, Parasutterella	
sq132;size=66577;	OTU mapped to a clade within phylum Bacteroidetes or Deinococcus-Thermus or Chlorobi or Ignavibacteriae or Proteobacteria	
sq134;size=66126;	OTU mapped to Clostridium_XVIII spiroforme	
sq138;size=64287;	OTU mapped to Ruminococcus lactaris	
sq140;size=62426;	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae	
sq141;size=62397;	OTU mapped to Roseburia hominis	
sq143;size=60973;	OTU mapped to Turicibacter sanguinis	
sq146;size=59405;	OTU mapped to Clostridium_XlVa symbiosum	
sq147;size=57987;	OTU mapped to a clade within genus Bifidobacterium,including representatives of species Bifidobacterium longum, Bifidobacterium breve	
sq149;size=57023;	OTU mapped to Sutterella stercoricanis	
sq151;size=55500;	OTU mapped to Clostridium leptum	
sq152;size=54508;	OTU mapped to Vampirovibrio chlorellavorus	
sq153;size=54074;	OTU mapped to Clostridium_XI difficile	
sq155;size=52821;	OTU mapped to Coprococcus comes	
sq156;size=52152;	OTU mapped to Clostridium_XVIII saccharogumia	
sq159;size=51411;	OTU mapped to Eggerthella lenta	
sq161;size=50885;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
sq163;size=49780;	OTU mapped to Eubacterium hallii	
sq164;size=49299;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
sq168;size=46687;	OTU mapped to a clade within family Pasteurellaceae,including representatives of genus Actinobacillus, Pasteurella, Bibersteinia, Basfia, Haemophilus, Nicoletella	
sq171;size=46206;	OTU mapped to Streptococcus australis/lactarius/oralis/parasanguinis/peroris/sanguinis	
sq177;size=43372;	OTU mapped to Ruminococcus lactaris	
sq178;size=43239;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
sq179;size=43183;	OTU mapped to Anaerostipes caccae	
sq182;size=42391;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
sq183;size=42180;	OTU mapped to Butyricicoccus pullicaecorum	
sq188;size=38638;	OTU mapped to Eubacterium siraeum	
sq189;size=38479;	OTU mapped to Ruminococcus callidus	
sq192;size=37961;	OTU mapped to Eubacterium siraeum	
sq193;size=37945;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
sq194;size=36974;	OTU mapped to [Ruminococcus] torques	
sq196;size=36731;	OTU mapped to a clade within family Pasteurellaceae,including representatives of genus Aggregatibacter, Haemophilus	
sq197;size=36636;	OTU mapped to Clostridium aldenense	
sq200;size=36019;	OTU mapped to Coprococcus eutactus	
sq202;size=35898;	OTU mapped to Oscillibacter valericigenes	
sq207;size=34903;	OTU mapped to Dorea formicigenerans	
sq208;size=34622;	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Oscillospiraceae	
sq210;size=34480;	OTU mapped to a clade within phylum Chlamydiae or Fusobacteria or Deinococcus-Thermus or Planctomycetes or Elusimicrobia or Spirochaetes or Fibrobacteres or Nitrospirae or Tenericutes or Chlorobi or Ignavibacteriae or Proteobacteria or Dictyoglomi or Lentisphaerae or Bacteroidetes or Actinobacteria or Firmicutes or Verrucomicrobia or Chloroflexi or Deferribacteres or Gemmatimonadetes or Chrysiogenetes or Acidobacteria	
sq221;size=33470;	OTU mapped to Ruminococcus callidus	
sq223;size=33436;	OTU mapped to a clade within genus Peptostreptococcus,including representatives of species Peptostreptococcus anaerobius, Peptostreptococcus stomatis	
sq236;size=29272;	OTU mapped to Megasphaera micronuciformis	
sq237;size=28760;	OTU mapped to Clostridium hylemonae	
sq238;size=28488;	OTU mapped to Butyricicoccus pullicaecorum	
sq242;size=27049;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Eubacteriaceae	
sq243;size=27020;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
sq244;size=26964;	OTU mapped to Bifidobacterium animalis	
sq251;size=25813;	OTU mapped to Eubacterium hallii	
sq252;size=25699;	OTU mapped to a clade within phylum Tenericutes or Planctomycetes or Acidobacteria or Ignavibacteriae or Gemmatimonadetes or Proteobacteria or Spirochaetes or Chlamydiae or Lentisphaerae or Chlorobi or Bacteroidetes or Deinococcus-Thermus or Fibrobacteres or Nitrospirae or Actinobacteria or Firmicutes or Verrucomicrobia or Chloroflexi	
sq260;size=24835;	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Lachnospiraceae	
sq264;size=23609;	OTU mapped to Coprococcus catus	
sq265;size=23446;	OTU mapped to Alistipes shahii	
sq266;size=23242;	OTU mapped to Ruminococcus lactaris	
sq267;size=23211;	OTU mapped to Veillonella atypica/parvula	
sq273;size=22561;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
sq275;size=21062;	OTU mapped to Oscillibacter valericigenes	
sq280;size=20402;	OTU mapped to a clade within family Ruminococcaceae,including representatives of genus Subdoligranulum, Gemmiger	
sq281;size=20300;	OTU mapped to Oscillibacter valericigenes	
sq284;size=19843;	OTU mapped to a clade within genus Mycoplasma,including representatives of species Mycoplasma citelli, Mycoplasma columborale, Mycoplasma oxoniensis, Mycoplasma sturni	
sq286;size=19689;	OTU mapped to Clostridium lactatifermentans	
sq290;size=18700;	OTU mapped to Actinomyces odontolyticus	
sq292;size=18314;	OTU mapped to Eubacterium ventriosum	
sq293;size=18244;	OTU mapped to Oscillibacter valericigenes	
sq303;size=17173;	OTU mapped to Staphylococcus arlettae/aureus/capitis/caprae/croceolyticus/devriesei/epidermidis/equorum/haemolyticus/hemolyticus/hominis/lugdunensis/pasteuri/petrasii/saccharolyticus/simiae/warneri/xylosus	
sq305;size=17074;	OTU mapped to a clade within genus Granulicatella,including representatives of species Granulicatella adiacens, Granulicatella elegans	
sq318;size=15447;	OTU mapped to Clostridium viride	
sq321;size=15123;	OTU mapped to a clade within genus Blautia,including representatives of species [Ruminococcus] obeum, Blautia luti	
sq324;size=14944;	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Oscillospiraceae	
sq328;size=14567;	OTU mapped to a clade within family Lachnospiraceae,including representatives of genus Marvinbryantia, Robinsoniella, Blautia	
sq334;size=14189;	OTU mapped to a clade within order Clostridiales,including representatives of family Clostridiaceae, Lachnospiraceae	
sq336;size=13993;	OTU mapped to Clostridium colinum	
sq345;size=13449;	OTU mapped to a clade within genus Clostridium,including representatives of species Clostridium sporosphaeroides, Clostridium leptum	
sq346;size=13367;	OTU mapped to Blautia wexlerae	
sq350;size=13039;	OTU mapped to a clade within genus Clostridium,including representatives of species Clostridium sporosphaeroides, Clostridium leptum	
sq352;size=12987;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
sq384;size=10472;	OTU mapped to Oscillibacter valericigenes	
sq393;size=9980;	OTU mapped to Clostridium_XlVa hathewayi	
sq457;size=7833;	OTU mapped to Butyricicoccus pullicaecorum	
sq469;size=7346;	OTU mapped to a clade within order Clostridiales,including representatives of family Ruminococcaceae, Oscillospiraceae	
sq470;size=7311;	OTU mapped to Clostridium_XlVa asparagiforme/lavalense	
sq478;size=6996;	OTU mapped to Eubacterium ventriosum	
sq481;size=6956;	OTU mapped to Pseudomonas borealis/brenneri/cannabina/chlororaphis/collierea/ficuserectae/fluorescens/frederiksbergensis/gessardii/kilonensis/lini/mandelii/marginalis/migulae/panacis/putida/syringae/thivervalensis/tolaasii	
sq486;size=6865;	OTU mapped to Haemophilus haemolyticus/influenzae	
sq506;size=6213;	OTU mapped to a clade within phylum Firmicutes,including representatives of class Clostridia, Bacilli	
sq526;size=5742;	OTU mapped to Clostridium viride	
sq563;size=5038;	OTU mapped to Gemella haemolysans/morbillorum/sanguinis	
sq564;size=5037;	OTU mapped to Holdemania filiformis	
sq647;size=3646;	OTU mapped to Granulicatella elegans	
15392	a clade within phylum Chlamydiae or Fusobacteria or Deinococcus-Thermus or Planctomycetes or Elusimicrobia or Spirochaetes or Fibrobacteres or Nitrospirae or Tenericutes or Chlorobi or Ignavibacteriae or Proteobacteria or Lentisphaerae or Bacteroidetes or Actinobacteria or Firmicutes or Verrucomicrobia or Chloroflexi or Deferribacteres or Gemmatimonadetes or Chrysiogenetes or Acidobacteria	sq119;size=76712; 4909 sq22;size=654794; sq99;size=101887; sq43;size=343371; sq3;size=2412753; sq196;size=36731; sq19;size=777424; sq486;size=6865; sq168;size=46687; sq481;size=6956; sq30;size=495992; sq39;size=399807; sq128;size=70944; sq149;size=57023; sq131;size=69175; sq35;size=455501; 10249 11740 11752 sq132;size=66577; 6010 sq123;size=72805; sq51;size=274412; sq10;size=1332376; 6105 6115 6123 sq48;size=308652; sq16;size=906722; sq107;size=84008; sq17;size=860785; sq100;size=100408; sq18;size=847232; sq21;size=680829; sq32;size=481959; sq25;size=579057; sq97;size=102043; sq5;size=2220352; sq86;size=121371; sq6;size=1790282; sq2;size=3651925; sq24;size=579437; 6178 sq88;size=119729; sq122;size=74529; sq40;size=378246; 6259 sq265;size=23446; sq118;size=76766; sq65;size=186706; sq52;size=258287; sq37;size=435106; sq252;size=25699; sq290;size=18700; sq244;size=26964; sq147;size=57987; sq31;size=484285; sq1;size=4814083; sq8;size=1459934; sq76;size=147856; sq9;size=1334363; sq92;size=111219; sq159;size=51411; 4186 4203 sq29;size=509608; sq11;size=1228070; sq69;size=177052; 12211 sq156;size=52152; sq26;size=571700; sq134;size=66126; sq28;size=526536; sq284;size=19843; sq89;size=117483; sq564;size=5037; 12166 sq238;size=28488; sq457;size=7833; sq183;size=42180; sq188;size=38638; sq192;size=37961; sq94;size=107496; sq4;size=2328586; sq56;size=218994; sq109;size=83360; sq7;size=1525327; sq34;size=468569; sq114;size=79346; sq280;size=20402; sq117;size=78669; sq90;size=115085; sq91;size=112216; sq221;size=33470; sq189;size=38479; sq67;size=185845; sq27;size=537952; sq345;size=13449; sq350;size=13039; sq151;size=55500; sq113;size=80837; 12605 sq80;size=130241; sq526;size=5742; sq318;size=15447; sq45;size=334421; sq384;size=10472; sq202;size=35898; sq281;size=20300; sq130;size=70625; sq293;size=18244; sq93;size=110565; sq275;size=21062; sq324;size=14944; sq208;size=34622; sq469;size=7346; sq105;size=88435; 12958 sq242;size=27049; 13022 sq223;size=33436; sq46;size=325448; sq71;size=167453; sq153;size=54074; 13248 sq336;size=13993; sq286;size=19689; sq110;size=81733; sq334;size=14189; sq273;size=22561; sq164;size=49299; sq193;size=37945; sq182;size=42391; sq120;size=76131; sq506;size=6213; sq73;size=164966; sq77;size=143127; sq74;size=161264; 13092 sq20;size=738898; sq96;size=105480; sq33;size=480760; sq141;size=62397; sq38;size=406607; sq393;size=9980; sq60;size=200724; sq126;size=71476; sq470;size=7311; sq66;size=186030; sq81;size=128852; sq197;size=36636; sq146;size=59405; 13159 sq41;size=372936; sq328;size=14567; sq83;size=124906; sq346;size=13367; sq13;size=1127644; sq321;size=15123; sq115;size=79033; sq50;size=282979; 13153 sq98;size=101965; sq103;size=96080; 13184 sq163;size=49780; sq59;size=206855; sq251;size=25813; sq111;size=81614; sq23;size=649275; sq55;size=230567; sq179;size=43183; sq200;size=36019; sq264;size=23609; sq78;size=139824; sq138;size=64287; sq177;size=43372; sq266;size=23242; sq140;size=62426; sq260;size=24835; sq194;size=36974; sq104;size=91730; sq155;size=52821; sq207;size=34903; sq58;size=207883; sq237;size=28760; sq15;size=964855; sq478;size=6996; sq292;size=18314; sq161;size=50885; sq352;size=12987; sq87;size=120786; sq243;size=27020; sq178;size=43239; sq121;size=74695; sq72;size=166815; 12729 sq125;size=71713; sq63;size=192392; sq106;size=88010; sq54;size=232339; sq152;size=54508; sq44;size=336494; sq42;size=355037; sq57;size=209041; sq267;size=23211; sq68;size=178805; sq236;size=29272; sq62;size=199303; sq14;size=1011218; 11976 11935 sq143;size=60973; 14292 sq36;size=439026; sq70;size=169081; 14157 14083 sq64;size=191421; sq47;size=314068; sq171;size=46206; sq79;size=137852; sq305;size=17074; sq647;size=3646; sq49;size=289146; sq12;size=1158412; sq303;size=17173; sq563;size=5038;
15300	a clade within phylum Tenericutes or Fusobacteria or Elusimicrobia or Bacteroidetes or Proteobacteria or Firmicutes	12211 sq156;size=52152; sq26;size=571700; sq134;size=66126; sq28;size=526536; sq284;size=19843; sq89;size=117483; sq564;size=5037; 12166 sq238;size=28488; sq457;size=7833; sq183;size=42180; sq188;size=38638; sq192;size=37961; sq94;size=107496; sq4;size=2328586; sq56;size=218994; sq109;size=83360; sq7;size=1525327; sq34;size=468569; sq114;size=79346; sq280;size=20402; sq117;size=78669; sq90;size=115085; sq91;size=112216; sq221;size=33470; sq189;size=38479; sq67;size=185845; sq27;size=537952; sq345;size=13449; sq350;size=13039; sq151;size=55500; sq113;size=80837; 12605 sq80;size=130241; sq526;size=5742; sq318;size=15447; sq45;size=334421; sq384;size=10472; sq202;size=35898; sq281;size=20300; sq130;size=70625; sq293;size=18244; sq93;size=110565; sq275;size=21062; sq324;size=14944; sq208;size=34622; sq469;size=7346; sq105;size=88435; 12958 sq242;size=27049; 13022 sq223;size=33436; sq46;size=325448; sq71;size=167453; sq153;size=54074; 13248 sq336;size=13993; sq286;size=19689; sq110;size=81733; sq334;size=14189; sq273;size=22561; sq164;size=49299; sq193;size=37945; sq182;size=42391; sq120;size=76131; sq506;size=6213; sq73;size=164966; sq77;size=143127; sq74;size=161264; 13092 sq20;size=738898; sq96;size=105480; sq33;size=480760; sq141;size=62397; sq38;size=406607; sq393;size=9980; sq60;size=200724; sq126;size=71476; sq470;size=7311; sq66;size=186030; sq81;size=128852; sq197;size=36636; sq146;size=59405; 13159 sq41;size=372936; sq328;size=14567; sq83;size=124906; sq346;size=13367; sq13;size=1127644; sq321;size=15123; sq115;size=79033; sq50;size=282979; 13153 sq98;size=101965; sq103;size=96080; 13184 sq163;size=49780; sq59;size=206855; sq251;size=25813; sq111;size=81614; sq23;size=649275; sq55;size=230567; sq179;size=43183; sq200;size=36019; sq264;size=23609; sq78;size=139824; sq138;size=64287; sq177;size=43372; sq266;size=23242; sq140;size=62426; sq260;size=24835; sq194;size=36974; sq104;size=91730; sq155;size=52821; sq207;size=34903; sq58;size=207883; sq237;size=28760; sq15;size=964855; sq478;size=6996; sq292;size=18314; sq161;size=50885; sq352;size=12987; sq87;size=120786; sq243;size=27020; sq178;size=43239; sq121;size=74695; sq72;size=166815; 12729 sq125;size=71713; sq63;size=192392; sq106;size=88010; sq54;size=232339; sq152;size=54508; sq44;size=336494; sq42;size=355037; sq57;size=209041; sq267;size=23211; sq68;size=178805; sq236;size=29272; sq62;size=199303; sq14;size=1011218; 11976 11935 sq143;size=60973; 14292 sq36;size=439026; sq70;size=169081; 14157 14083 sq64;size=191421; sq47;size=314068; sq171;size=46206; sq79;size=137852; sq305;size=17074; sq647;size=3646; sq49;size=289146; sq12;size=1158412; sq303;size=17173; sq563;size=5038;
11798	a clade within phylum Tenericutes or Planctomycetes or Acidobacteria or Ignavibacteriae or Gemmatimonadetes or Proteobacteria or Spirochaetes or Chlamydiae or Lentisphaerae or Chlorobi or Bacteroidetes or Deinococcus-Thermus or Fibrobacteres or Nitrospirae or Actinobacteria or Firmicutes or Verrucomicrobia or Chloroflexi	sq119;size=76712; 4909 sq22;size=654794; sq99;size=101887; sq43;size=343371; sq3;size=2412753; sq196;size=36731; sq19;size=777424; sq486;size=6865; sq168;size=46687; sq481;size=6956; sq30;size=495992; sq39;size=399807; sq128;size=70944; sq149;size=57023; sq131;size=69175; sq35;size=455501; 10249 11740 11752 sq132;size=66577; 6010 sq123;size=72805; sq51;size=274412; sq10;size=1332376; 6105 6115 6123 sq48;size=308652; sq16;size=906722; sq107;size=84008; sq17;size=860785; sq100;size=100408; sq18;size=847232; sq21;size=680829; sq32;size=481959; sq25;size=579057; sq97;size=102043; sq5;size=2220352; sq86;size=121371; sq6;size=1790282; sq2;size=3651925; sq24;size=579437; 6178 sq88;size=119729; sq122;size=74529; sq40;size=378246; 6259 sq265;size=23446; sq118;size=76766; sq65;size=186706; sq52;size=258287; sq37;size=435106; sq252;size=25699; sq290;size=18700; sq244;size=26964; sq147;size=57987; sq31;size=484285; sq1;size=4814083; sq8;size=1459934; sq76;size=147856; sq9;size=1334363; sq92;size=111219; sq159;size=51411; 4186 4203 sq29;size=509608; sq11;size=1228070; sq69;size=177052;
